"industry","district","medianmonthlywage","medianhourlywage","employmentthousands","cbddummy","districtwageeffect","adjustedmonthlywage","adjustedhourlywage","wagelevellog","finance_dummy","wage_spread","location_type"
"Education and public administration","Central and Western",32800,146.2,95,1,1.08,35424,157.896,10.4751448355084,0,4800,"CBD"
"Financing and insurance","Central and Western",32800,124.6,125,1,1.08,35424,134.568,10.4751448355084,1,5200,"CBD"
"Education and public administration","Wan Chai",32800,146.2,95,1,1.08,35424,157.896,10.4751448355084,0,4800,"CBD"
"Financing and insurance","Wan Chai",32800,124.6,125,1,1.08,35424,134.568,10.4751448355084,1,5200,"CBD"
"Education and public administration","Eastern",32800,146.2,95,1,1.08,35424,157.896,10.4751448355084,0,4800,"CBD"
"Financing and insurance","Eastern",32800,124.6,125,1,1.08,35424,134.568,10.4751448355084,1,5200,"CBD"
"Education and public administration","Southern",32800,146.2,95,0,1.04,34112,152.048,10.4374045075255,0,3200,"Non-CBD"
"Financing and insurance","Southern",32800,124.6,125,0,1.04,34112,129.584,10.4374045075255,1,3600,"Non-CBD"
"Education and public administration","Yau Tsim Mong",32800,146.2,95,0,1.04,34112,152.048,10.4374045075255,0,3200,"Non-CBD"
"Financing and insurance","Yau Tsim Mong",32800,124.6,125,0,1.04,34112,129.584,10.4374045075255,1,3600,"Non-CBD"
"Education and public administration","Sham Shui Po",32800,146.2,95,0,1,32800,146.2,10.3981837943722,0,3200,"Non-CBD"
"Financing and insurance","Sham Shui Po",32800,124.6,125,0,1,32800,124.6,10.3981837943722,1,3600,"Non-CBD"
"Education and public administration","Kowloon City",32800,146.2,95,0,1.04,34112,152.048,10.4374045075255,0,3200,"Non-CBD"
"Financing and insurance","Kowloon City",32800,124.6,125,0,1.04,34112,129.584,10.4374045075255,1,3600,"Non-CBD"
"Education and public administration","Wong Tai Sin",32800,146.2,95,0,1,32800,146.2,10.3981837943722,0,3200,"Non-CBD"
"Financing and insurance","Wong Tai Sin",32800,124.6,125,0,1,32800,124.6,10.3981837943722,1,3600,"Non-CBD"
"Education and public administration","Kwun Tong",32800,146.2,95,0,1,32800,146.2,10.3981837943722,0,3200,"Non-CBD"
"Financing and insurance","Kwun Tong",32800,124.6,125,0,1,32800,124.6,10.3981837943722,1,3600,"Non-CBD"
"Education and public administration","Kwai Tsing",32800,146.2,95,0,1,32800,146.2,10.3981837943722,0,3200,"Non-CBD"
"Financing and insurance","Kwai Tsing",32800,124.6,125,0,1,32800,124.6,10.3981837943722,1,3600,"Non-CBD"
"Education and public administration","Tsuen Wan",32800,146.2,95,0,1,32800,146.2,10.3981837943722,0,3200,"Non-CBD"
"Financing and insurance","Tsuen Wan",32800,124.6,125,0,1,32800,124.6,10.3981837943722,1,3600,"Non-CBD"
"Education and public administration","Tuen Mun",32800,146.2,95,0,1,32800,146.2,10.3981837943722,0,3200,"Non-CBD"
"Financing and insurance","Tuen Mun",32800,124.6,125,0,1,32800,124.6,10.3981837943722,1,3600,"Non-CBD"
"Education and public administration","Yuen Long",32800,146.2,95,0,1,32800,146.2,10.3981837943722,0,3200,"Non-CBD"
"Financing and insurance","Yuen Long",32800,124.6,125,0,1,32800,124.6,10.3981837943722,1,3600,"Non-CBD"
"Education and public administration","North",32800,146.2,95,0,1,32800,146.2,10.3981837943722,0,3200,"Non-CBD"
"Financing and insurance","North",32800,124.6,125,0,1,32800,124.6,10.3981837943722,1,3600,"Non-CBD"
"Education and public administration","Tai Po",32800,146.2,95,0,1,32800,146.2,10.3981837943722,0,3200,"Non-CBD"
"Financing and insurance","Tai Po",32800,124.6,125,0,1,32800,124.6,10.3981837943722,1,3600,"Non-CBD"
"Education and public administration","Sha Tin",32800,146.2,95,0,1,32800,146.2,10.3981837943722,0,3200,"Non-CBD"
"Financing and insurance","Sha Tin",32800,124.6,125,0,1,32800,124.6,10.3981837943722,1,3600,"Non-CBD"
"Education and public administration","Sai Kung",32800,146.2,95,0,1,32800,146.2,10.3981837943722,0,3200,"Non-CBD"
"Financing and insurance","Sai Kung",32800,124.6,125,0,1,32800,124.6,10.3981837943722,1,3600,"Non-CBD"
"Education and public administration","Islands",32800,146.2,95,0,1,32800,146.2,10.3981837943722,0,3200,"Non-CBD"
"Financing and insurance","Islands",32800,124.6,125,0,1,32800,124.6,10.3981837943722,1,3600,"Non-CBD"
